AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2009,16972,South West,Devon,A377,PU,291520,91000,B3123,A3015 Nr Frog St,1.7,1.05,163,536,17276,118,2872,287,101,49,32,42,154,665,21467
2009,18081,South West,Devon,A377,PR,291278,90303,A30,/B3123,0.6,0.37,20,185,18092,71,2930,319,83,37,31,43,198,711,21989
2009,26410,South West,Devon,A379,PU,294850,90300,A3015 Topsham Road,A3015,0.8,0.49,432,414,25915,104,4045,562,171,54,43,23,122,975,31453
2009,37674,South West,Devon,A376,PR,297000,91160,M5 Jct 30,M5,0.7,0.43,55,459,32203,278,6082,855,242,159,77,68,213,1614,40636
2009,37882,South West,Devon,A30,TR,292000,88665,A377,M5 Jct 31,3.6,2.23,1,273,31878,115,5346,682,304,86,122,285,1029,2508,40120
2009,47077,South West,Devon,A377,PU,290930,95000,B3183 New North Road,A396,1.2,0.74,159,193,10934,209,1413,161,59,27,10,11,59,327,13076
2009,56192,South West,Devon,M5,TM,296300,90200,31,30,5.7,3.54,0,312,67688,212,9298,880,261,113,186,310,1293,3043,80553
2009,56414,South West,Devon,A379,PR,296000,91040,A3015,M5 Jct 30,2.1,1.3,5,223,22047,86,3096,467,143,65,55,47,165,942,26394
2009,77996,South West,Devon,A379,PU,294400,89750,Glasshouse Lane,A3015 Topsham Road,0.5,0.31,112,794,29862,274,5320,529,169,60,58,36,139,991,37241
2009,77997,South West,Devon,A3015,PR,296530,93000,Moor Lane roundabout,M5 Jct 29,0.6,0.37,234,201,16956,86,2172,129,32,2,12,15,19,209,19624
2009,99845,South West,Devon,A3015,PU,294000,90610,A377 Frog Street,A379,3.9,2.42,436,295,24141,579,2044,231,45,14,20,11,28,349,27408
2009,99846,South West,Devon,A3015,PU,295301,91193,A379,Moor Lane roundabout,2.7,1.67,257,221,18633,94,2387,141,36,2,13,16,21,229,21564
2010,6407,South West,Devon,A379,PR,294000,89374,Sannerville Way Rndbt,Glasshouse Lane,0.9,0.55,253,565,25792,249,4917,417,163,41,30,43,125,819,32342
2010,16023,South West,Devon,M5,TM,296900,92000,30,29,1.8,1.11,0,366,57558,387,8316,1486,579,190,346,776,2499,5876,72503
2010,16382,South West,Devon,A379,PR,292400,88979,Bridge road/Sannerville Way Rndbt,A38 Mid Junction,3.5,2.17,33,161,12182,144,2441,304,72,26,34,20,131,587,15515
2010,16971,South West,Devon,A377,PU,291300,93000,A3015 Western Way,B3183 New North Road,2.1,1.3,95,179,9598,103,1524,168,104,38,14,14,91,429,11833
2010,16972,South West,Devon,A377,PU,291520,91000,B3123,A3015 Nr Frog St,1.7,1.05,164,485,17155,126,2935,296,99,42,38,40,157,672,21373
2010,18081,South West,Devon,A377,PR,291278,90303,A30,/B3123,0.6,0.37,20,167,17839,73,3021,334,83,32,35,39,191,714,21814
2010,26410,South West,Devon,A379,PU,294850,90300,A3015 Topsham Road,A3015,0.8,0.49,434,375,25734,111,4134,580,168,46,51,22,124,991,31345
2010,37674,South West,Devon,A376,PR,297000,91160,M5 Jct 30,M5,0.7,0.43,68,400,30705,279,5343,778,257,149,93,62,231,1570,38297
